,小区名称,具体地址,建成时间,挂牌均价
83,乾骏大厦,(徐汇龙华)宾阳路62弄,2003年 ,92495
84,光大会展中心,(徐汇康健)漕宝路66号（A座B座）,2000-2011年 ,47716
85,汇宁花园,(徐汇徐家汇)淮海西路183弄,2007年 ,138316
86,明园小安桥,(徐汇田林)中山西路1698弄,2006-2011年 ,97364
87,叠加苑,(徐汇徐汇滨江)龙水南路358弄,2000-2001年 ,83102
88,瑞金尊邸,(徐汇斜土路)瑞金南路628弄,2006年 ,106018
89,新湖云庭,(徐汇斜土路)小木桥路518弄,2005-2006年 ,88639
90,汇峰鼎园,(徐汇斜土路)肇嘉浜路9弄,2006-2007年 ,135464
91,百汇园三期,(徐汇徐汇滨江)云锦路183弄,2019-2020年 ,164669
92,瑞嘉公寓,(徐汇斜土路)肇嘉浜路99弄,2003年 ,112734
93,虹桥丽园,(徐汇徐家汇)虹桥路591弄,2000年 ,112772
94,云都新苑,(徐汇万体馆)龙漕路221弄,2003年 ,97837
95,上海电影广场,(徐汇徐家汇)漕溪北路595号,2014年 ,85053
96,永新城,(徐汇徐家汇)辛耕路81弄,2006-2007年 ,146007
97,嘉瑞花苑,(徐汇斜土路)肇嘉浜路243弄,2001年 ,102810
98,明申商务广场,(徐汇漕河泾)漕宝路400号,2003年 ,000000
99,太原邸,(徐汇建国西路)太原路289弄,2007-2008年 ,187383
100,兆丰虹桥公寓,(徐汇田林)中山西路1790弄1-8号,2000年 ,87290
101,芳草苑(徐汇),(徐汇万体馆)龙吴路15弄1-9号,2000年 ,101591
102,舒城苑,(徐汇华东理工)老沪闵路1055弄,2002年 ,80347
103,临江豪园,(徐汇龙华)宛平南路921弄,2007年 ,134575
104,阳光新景,(徐汇华东理工)天等路259弄,2001年 ,81774
105,汇智大厦,(徐汇徐家汇)漕溪北路396-398号,2000-2007年 ,000000
106,徐汇御苑,(徐汇徐家汇)东安路251弄,2007年 ,110939
107,盛大花园,(徐汇龙华)龙华路2518弄,2000-2004年 ,111592
108,西雅图嘉萱苑,(徐汇龙华)三江路88弄,2004年 ,111625
109,华鼎广场,(徐汇田林)中山西路2366弄1-3号,2001-2003年 ,81529
110,华馨公寓,(徐汇长桥)罗秀路55弄,2006年 ,94237
111,丝庐花语,(徐汇斜土路)零陵路29弄7-23号,2006-2008年 ,118794
112,银星名庭,(徐汇万体馆)龙漕路51弄2号,2005年 ,79254
113,科拉胜建材商厦,(徐汇徐家汇)宜山路436号,2000年 ,000000
114,徐汇苑,(徐汇龙华)天钥桥路968弄,2000-2009年 ,110703
115,阳光名邸,(徐汇徐家汇)凯旋路1688弄,2000-2001年 ,117119
116,南馨公寓,(徐汇徐家汇)天钥桥路180弄8号,2002年 ,138974
117,永嘉路345弄,(徐汇建国西路)永嘉路345弄,暂无信息 ,000000
118,永嘉路50号,(徐汇建国西路)永嘉路50号,暂无信息 ,000000
119,恒地苑,(徐汇龙华)龙恒路280弄,2002年 ,94497
120,华南公寓,(徐汇万体馆)田东路70弄,2005年 ,000000
121,罗秀家园,(徐汇华东理工)罗秀路880弄,2002年 ,81204
122,滨江108(公寓),(徐汇华泾)望月路900弄,2012年 ,000000
123,云锦东方锦园,(徐汇龙华)龙兰路399弄,2016-2019年 ,230437
