Unnamed: 0,小区名称,具体地址,建成时间,挂牌均价,经度,纬度,驾车距离(米),所需时间(秒)
112,万科城,(闵行老闵行)银春路2200弄,2002-2016年 ,45614,121.386817,31.025653,22096,1504
113,浦江世博家园七街坊,(闵行浦江)南江燕路69弄,2005-2006年 ,45436,121.5057,31.077933,35282,2234
114,华侨城loft,(闵行浦江)浦锦路1266弄,2012年 ,0,121.493387,31.092455,30664,2128
115,浦江坤庭—翠御,(闵行浦江)浦秀路1385弄,2013年 ,62956,121.489422,31.092225,30887,2085
116,鹤庆苑,(闵行老闵行)安宁路330弄,2000年 ,42329,121.416015,31.014402,24589,1874
117,凤凰景苑,(闵行老闵行)景谷中路58弄,2015-2018年 ,66169,121.417754,31.020896,24141,1808
118,万科VMO花园广场,(闵行浦江)浦锦路2049弄,2011年 ,0,121.484434,31.109663,28863,1907
119,浦江世博家园六街坊,(闵行浦江)北江燕路338弄,2006-2007年 ,49816,121.50016,31.079574,35836,2321
120,文化礼品城小区,(闵行老闵行)江川路1565弄,2005-2007年 ,0,121.418021,31.009156,24995,1884
121,保利茉莉公馆二期,(闵行浦江)浦秀路1535弄,2012-2015年 ,85991,121.485741,31.094234,31031,2202
122,景舒苑四村,(闵行浦江)浦秀路220弄,2005-2006年 ,39447,121.496935,31.073105,37321,2298
123,中景水岸,(闵行老闵行)瑞丽路768弄,2012-2013年 ,46451,121.404465,31.015948,23388,1716
124,源枫景苑,(闵行老闵行)永平南路203弄,2010-2011年 ,52179,121.432097,31.010886,26414,2076
125,浦江世博家园十五街坊,(闵行浦江)联航路2165弄,2005-2006年 ,43239,121.502032,31.071736,36679,2237
126,一品漫城(一期)(别墅),(闵行浦江)浦星公路568弄47-145号,2008年 ,68652,121.493919,31.118556,31175,1929
127,景舒苑五村西区,(闵行浦江)浦秀路49弄,2006-2007年 ,40790,121.49623,31.070176,37018,2269
128,紫竹苑(闵行),(闵行老闵行)江川东路839弄,2002年 ,40382,121.426636,31.007065,26168,2072
129,华侨城十号院,(闵行浦江)浦驰路1628弄,2014年 ,0,121.4957,31.099927,33218,2041
130,友好佳苑,(闵行老闵行)江川路680弄,2011年 ,32556,121.418021,31.009156,24995,1884
131,永康城佳兴苑,(闵行浦江)永跃路782弄,2014年 ,28199,121.511183,31.034282,36912,2237
132,一品漫城四期（别墅）,(闵行浦江)芦恒路378弄,2014-2018年 ,66790,121.490801,31.116904,31448,1905
