Unnamed: 0,小区名称,具体地址,建成时间,挂牌均价,经度,纬度,驾车距离(米),所需时间(秒)
249,东方花园二期,(闵行七宝)新镇路603弄,2003-2006年 ,73686,121.364756,31.145377,10411,1090
250,紫薇苑,(闵行金汇)红松路81弄153支弄,2015-2016年 ,110429,121.37727,31.180264,9478,1266
251,金臣汇,(闵行华漕)金杰路5弄,2001-2016年 ,90787,121.269705,31.201458,6617,890
252,虹桥天地广场,(闵行华漕)苏虹路29-33号,2013年 ,0,121.315698,31.194801,734,179
253,万科时一区(写字楼),(闵行华漕)泰虹路268弄,2007-2015年 ,0,121.309948,31.200715,1423,347
254,新华红星国际广场,(闵行金汇)虹井路120弄,2015-2017年 ,0,121.372358,31.175002,9344,1203
255,万科时一区（一期）,(闵行华漕)申郑路18弄,2014-2016年 ,78248,121.311372,31.203531,1307,393
256,爱博三村,(闵行华漕)申滨路1058弄,2006-2010年 ,49571,121.310212,31.210411,2013,480
257,爱博四村,(闵行华漕)天山西路4358弄,2010-2011年 ,43858,121.304311,31.213695,3498,579
258,爱博二村,(闵行华漕)申滨路1051弄,2009-2019年 ,44019,121.306171,31.205793,2252,470
259,爱博一村,(闵行华漕)宁虹路1101弄,2008年 ,47282,121.310219,31.207777,2023,485
260,富力虹桥十号,(闵行华漕)申贵路1599弄,2012-2016年 ,81034,121.317869,31.207567,1818,400
261,爱博六村,(闵行华漕)申长北路185弄,2012年 ,39404,121.308012,31.2206,5196,770
262,绿地旭辉e天地,(闵行华漕)保乐路69弄,2015年 ,0,121.291772,31.207715,4072,601
263,塘泾南苑,(闵行吴泾)曹家塘路220弄,2015年 ,44887,121.446006,31.041642,31300,1923
264,西子国际中心,(闵行莘庄北广场)秀文路898号,2011-2014年 ,0,121.363556,31.123435,11605,1054
265,鑫都城紫云华庭,(闵行颛桥)新源路3122弄,2014-2016年 ,59174,121.394974,31.054494,20626,1273
266,红梅雅苑,(闵行闵浦)西城一路177弄,2013年 ,28729,121.529306,31.0212,40093,2581
267,春申景城湖滨晨韵,(闵行春申)莲花南路1111弄,2005-2006年 ,79521,121.412026,31.106332,23117,1732
268,紫堤苑,(闵行华漕)北翟路5088弄,2000-2001年 ,40664,121.297981,31.205857,4091,653
