小区名称,房源数量,平均单价,经度,纬度
南站阳光小区,1,54913,121.427938,31.146296
南虹公寓,2,101032.5,121.432022,31.190189
印象欧洲(公寓),4,96363.75,121.458675,31.1175
双峰路8弄,1,83366,121.446093,31.187796
双晖小区,7,86736.28571428571,121.467379,31.197202
叠加苑,2,84855.5,121.453242,31.153145
合丰大楼,3,89957,121.462148,31.198626
吉象小区,3,87425.33333333333,121.452433,31.183106
名人花苑,12,59712.333333333336,121.453588,31.115014
名仕苑,6,132794.66666666666,121.434811,31.196244
吴东小区,6,76390.83333333333,121.422474,31.191462
吴中公寓,1,64433,121.420411,31.187414
吴兴大楼,1,94012,121.444457,31.200954
吴兴路30弄,3,135744.33333333334,121.441945,31.20509
周家湾小区,11,77386.90909090909,121.450815,31.171156
和平小区(徐汇),9,58703,121.430798,31.132245
嘉乐公寓,1,92812,121.45931,31.201962
嘉善路232弄,9,157198.77777777778,121.459344,31.207962
嘉川公寓,2,62631,121.429593,31.139181
嘉御庭一期,2,193266,121.459719,31.206481
嘉御庭三期（璈峰）,5,215465.6,121.459719,31.206481
嘉汇广场,1,67788,121.443208,31.188127
四季园,4,102950,121.451936,31.195907
园南新村,36,73281.61111111111,121.439964,31.140389
复兴中路1248弄,1,133793,121.458698,31.213099
大木小区,15,90097.46666666666,121.462771,31.198247
大木桥路450弄,9,90129,121.46265,31.195602
天合雅园,4,102242.5,121.465171,31.196959
天平小区,7,103004.42857142857,121.439194,31.19834
天平路91弄,1,104610,121.438084,31.201201
天悦,1,133912,121.436307,31.188334
天秀苑,2,74091.5,121.430107,31.130344
天钥新村,15,85123.4,121.44698,31.184669
天钥花苑,1,99568,121.439413,31.187293
天际花园,2,122113,121.436307,31.188334
天龙公寓,2,84201.5,121.445307,31.179077
天龙苑,2,89059,121.447612,31.156471
安福路229弄,2,258621,121.442838,31.2134
宏润花园,12,115250.58333333333,121.436307,31.188334
宛南一村,3,88226,121.450832,31.184003
宛南二村,2,92867,121.450009,31.184087
宛南五村,9,100807.77777777778,121.448127,31.180509
宛南六村,6,116969.33333333333,121.44698,31.178956
宛南华侨新村,1,95625,121.450487,31.181143
宛南四村,4,82010,121.450444,31.18158
宛平南路170弄,5,85243.4,121.445602,31.193828
宛平南路240弄,1,89439,121.446047,31.193114
宛平南路268弄,2,95005.5,121.44637,31.192901
宛平南路493弄,2,86331,121.4487,31.189449
宛平南路65弄,7,87541.42857142857,121.446633,31.196566
宛平路6弄,1,128212,121.440207,31.204257
宛龙小区,10,81230.1,121.448921,31.182033
宜仕怡家,4,104211.75,121.441222,31.176354
宜山路518弄,5,77670.6,121.424562,31.182118
宜山路691弄,2,84419,121.421324,31.175504
宜山路701弄,2,76672,121.417893,31.173662
宜德苑,3,103275.66666666667,121.426571,31.185311
实业公寓,1,97389,121.437005,31.192796
家乐苑,5,56560,121.433179,31.135803
宾阳路居民区,3,70304.66666666667,121.437339,31.163818
寿山坊,7,68814.85714285714,121.422434,31.152497
寿德坊,1,71733,121.421856,31.154131
寿昌坊,4,66164.5,121.420029,31.150993
寿益坊,9,66561.22222222222,121.417533,31.151871
寿祥坊,7,66750.42857142857,121.419231,31.151108
小木桥路101弄,7,80931.71428571429,121.457917,31.199043
尚汇豪庭,7,139345.85714285713,121.431879,31.178763
尚汇豪庭二期,1,149542,121.42752,31.180832
尚海湾豪庭一期,36,146905.02777777778,121.460283,31.179931
尚海湾豪庭三期,23,173507.26086956522,121.460283,31.179931
尚海湾豪庭二期,3,151164.33333333334,121.460283,31.179931
尚谊小区,3,99501,121.453708,31.195178
岳阳大楼,1,128460,121.453057,31.203696
岳阳路200弄,1,134861,121.451693,31.204431
岳阳路77弄,2,132335,121.453274,31.207684
市民村,1,91181,121.430049,31.196856
常熟路165号,1,97115,121.449316,31.21516
常熟路228弄,4,117867.5,121.448638,31.214437
平华大厦,2,88961,121.456781,31.201206
平成阁公寓,1,68072,121.423731,31.172649
平江大楼,4,82735.25,121.456712,31.200351
平江路273弄,1,147672,121.451975,31.199257
年平花苑,2,107277,121.459504,31.20763
广元路193号,1,107143,121.438503,31.198632
广厦公寓,2,71711,121.416508,31.180188
广汇花苑,2,75853,121.454926,31.191767
庆余公寓,5,101581.2,121.4283,31.189554
康乐小区(徐汇),3,69276,121.431842,31.199136
康健公寓,1,73442,121.421457,31.156516
康健路100弄,2,68736.5,121.426746,31.164821
康健路120弄,2,65044,121.426599,31.16537
康健路17号,1,71139,121.432845,31.165653
康健路24弄,3,63567.333333333336,121.431253,31.165414
康健路25弄,4,68317.25,121.432385,31.166377
康健路77弄,3,71850.66666666667,121.428788,31.165898
康健路7号,3,64936,121.433218,31.165474
康宁坊,4,68335,121.427561,31.158405
康平路207弄,1,132253,121.438589,31.199977
康强坊,3,79671,121.424651,31.154284
