Unnamed: 0,小区名称,具体地址,建成时间,挂牌均价,经度,纬度,驾车距离(米),所需时间(秒)
59,龙南公寓,(徐汇龙华)龙水南路269弄,2006年 ,84085,121.45662,31.1544,3647,645
60,徐汇新城(别墅),(徐汇长桥)龙吴路1727弄,2006年 ,85879,121.4525,31.131212,7809,1051
61,申圃花园,(徐汇康健)冠生园路221弄,2000年 ,93828,121.428109,31.163249,4331,801
62,徐汇世家花园,(徐汇田林)钦州北路300弄3-10号,2014年 ,97574,121.418418,31.181393,4919,833
63,上海天玺,(徐汇衡山路)襄阳南路99-101号,2013-2014年 ,0,121.456994,31.206659,3655,767
64,襄阳南路360号,(徐汇建国西路)襄阳南路360号,暂无信息 ,0,121.457851,31.207913,4033,808
65,云锦东方一期,(徐汇龙华)龙兰路388弄,2014年 ,200446,121.453565,31.165847,2563,488
66,龙漕家园,(徐汇龙华)龙漕路38弄,2003年 ,98096,121.436634,31.168426,3056,630
67,嘉善路69弄,(徐汇建国西路)嘉善路69弄,2000年 ,0,121.459472,31.211844,4687,842
68,康健星辰,(徐汇康健)浦北路388弄,2000-2001年 ,100961,121.418646,31.153723,5886,1046
69,科华公寓,(徐汇田林)钦州路500弄,2002-2004年 ,95125,121.430056,31.16879,4398,781
70,光启城,(徐汇徐家汇)宜山路425号,2011年 ,0,121.428622,31.183807,4048,713
71,高安路3号,(徐汇衡山路)高安路3号,暂无信息 ,0,121.444153,31.206257,3552,773
72,紫江国际大厦,(徐汇衡山路)吴兴路281号,暂无信息 ,0,121.445917,31.198982,3309,693
73,航天公寓二期,(徐汇漕河泾)钦州北路939弄,2010年 ,115826,121.410846,31.179658,5406,902
74,复兴中路1311号,(徐汇建国西路)复兴中路1311号,暂无信息 ,0,121.455274,31.211927,4179,801
75,泰成商务楼,(徐汇康健)沪闵路9510号,2015年 ,0,121.433937,31.166167,4816,746
76,徐汇华园,(徐汇华泾)华发路58弄,2005年 ,77242,121.452788,31.129171,8181,1077
77,光启园,(徐汇漕河泾)虹漕路456号,2003-2009年 ,0,121.40952,31.178445,5947,1006
78,永康路124号,(徐汇建国西路)永康路124号,2000年 ,0,121.45692,31.210601,4109,747
79,印象欧洲(公寓),(徐汇华泾)望月路909弄,2011-2013年 ,96463,121.458675,31.1175,9698,1237
80,余庆路152号,(徐汇徐家汇)余庆路152号,2010年 ,0,121.439948,31.200035,3639,718
81,永升大厦,(徐汇徐家汇)中山西路2025号,2005年 ,0,121.427784,31.182661,3974,719
82,鑫国家园,(徐汇徐家汇)零陵路777弄,2001年 ,107978,121.439827,31.186274,3575,752
83,乾骏大厦,(徐汇龙华)宾阳路62弄,2003年 ,92495,121.438135,31.16476,3583,747
84,光大会展中心,(徐汇康健)漕宝路66号（A座B座）,2000-2011年 ,47716,121.42903,31.167602,3788,771
85,汇宁花园,(徐汇徐家汇)淮海西路183弄,2007年 ,138316,121.431802,31.200637,4880,940
86,明园小安桥,(徐汇田林)中山西路1698弄,2006-2011年 ,97364,121.423356,31.185155,4024,702
87,叠加苑,(徐汇徐汇滨江)龙水南路358弄,2000-2001年 ,83102,121.452596,31.152813,4089,694
88,瑞金尊邸,(徐汇斜土路)瑞金南路628弄,2006年 ,106018,121.46947,31.195788,2489,474
89,新湖云庭,(徐汇斜土路)小木桥路518弄,2005-2006年 ,88639,121.460842,31.19175,1940,441
90,汇峰鼎园,(徐汇斜土路)肇嘉浜路9弄,2006-2007年 ,135464,121.466548,31.202165,3573,626
91,百汇园三期,(徐汇徐汇滨江)云锦路183弄,2019-2020年 ,164669,121.459466,31.174357,1840,482
92,瑞嘉公寓,(徐汇斜土路)肇嘉浜路99弄,2003年 ,112734,121.465318,31.203629,3649,578
93,虹桥丽园,(徐汇徐家汇)虹桥路591弄,2000年 ,112772,121.428726,31.194134,4676,952
94,云都新苑,(徐汇万体馆)龙漕路221弄,2003年 ,97837,121.441893,31.170501,2890,660
95,上海电影广场,(徐汇徐家汇)漕溪北路595号,2014年 ,85053,121.43829,31.18616,3411,674
96,永新城,(徐汇徐家汇)辛耕路81弄,2006-2007年 ,146007,121.444925,31.193096,3776,771
97,嘉瑞花苑,(徐汇斜土路)肇嘉浜路243弄,2001年 ,102810,121.462864,31.201521,4061,671
98,明申商务广场,(徐汇漕河泾)漕宝路400号,2003年 ,0,121.41165,31.163684,6058,1097
99,太原邸,(徐汇建国西路)太原路289弄,2007-2008年 ,187383,121.457036,31.203839,3419,739
100,兆丰虹桥公寓,(徐汇田林)中山西路1790弄1-8号,2000年 ,87290,121.42427,31.184065,3897,685
101,芳草苑(徐汇),(徐汇万体馆)龙吴路15弄1-9号,2000年 ,101591,121.444541,31.172671,2466,527
102,舒城苑,(徐汇华东理工)老沪闵路1055弄,2002年 ,80347,121.434737,31.129863,8565,1358
103,临江豪园,(徐汇龙华)宛平南路921弄,2007年 ,134575,121.453034,31.183337,821,257
104,阳光新景,(徐汇华东理工)天等路259弄,2001年 ,81774,121.427223,31.135817,7477,1252
