Unnamed: 0,小区名称,具体地址,建成时间,挂牌均价,经度,纬度
37,银亿徐汇酩悦,(徐汇斜土路)斜土路1515号,2013年 ,91214,121.464950,31.199256
38,莲花大厦,(徐汇漕河泾)田州路159号,2006-2009年 ,0,121.394960,31.161905
39,中海馨园,(徐汇康健)钦州南路8弄,2001-2002年 ,98771,121.428738,31.162025
40,旭辉朗香郡,(徐汇华泾)华济路28弄,2011-2013年 ,113559,121.458994,31.116125
41,桂林新苑,(徐汇田林)钦州北路492弄1-4号,2004年 ,99483,121.415156,31.181841
42,锦馨公寓,(徐汇田林)古井路165号,2004年 ,78776,121.417829,31.190104
43,徐汇嘉馨公寓,(徐汇斜土路)医学院路15号,2004年 ,103659,121.459554,31.200414
44,北科大厦,(徐汇徐家汇)中山西路1919号,2005年 ,0,121.425928,31.183751
45,亚都国际名园,(徐汇徐家汇)南丹东路300弄,2003年 ,124606,121.438420,31.188651
46,万科华尔兹,(徐汇田林)漕宝路77弄,2001年 ,114151,121.428188,31.169299
47,天和苑,(徐汇徐家汇)天钥桥路321号,2003年 ,119098,121.442619,31.189382
48,华狮国际公寓,(徐汇徐家汇)天钥桥路180弄38号,2003年 ,103843,121.441825,31.190592
49,樟树苑,(徐汇徐汇滨江)龙吴路988弄1-24号,2000年 ,71624,121.451603,31.148435
50,宏汇大厦,(徐汇徐家汇)漕溪北路468号,2001年 ,88356,121.436386,31.186911
51,明华苑,(徐汇徐家汇)南丹路138弄,2002年 ,106346,121.432296,31.189061
52,鑫龙苑,(徐汇植物园)石龙路33弄28-32号,2002-2007年 ,89611,121.448491,31.157679
53,宛平南苑,(徐汇徐家汇)宛平南路300弄,2005年 ,109433,121.446120,31.192352
54,淮海中路1491号,(徐汇衡山路)淮海中路1491号,2005年 ,0,121.446292,31.209126
55,远雄徐汇园,(徐汇斜土路)斜土路1286号,2012年 ,135721,121.464950,31.199256
56,徐汇公园道壹号二期臻庭,(徐汇龙华)宾南路19弄,2015-2018年 ,152588,121.435794,31.159937
57,凯迪虹桥晶舍,(徐汇漕河泾)桂林路666弄,2014年 ,117497,121.413644,31.181550
58,乌鲁木齐南路176号,(徐汇衡山路)乌鲁木齐南路176号,2000年 ,0,121.448965,31.203455
59,龙南公寓,(徐汇龙华)龙水南路269弄,2006年 ,84085,121.456620,31.154400
60,徐汇新城(别墅),(徐汇长桥)龙吴路1727弄,2006年 ,85879,121.452500,31.131212
61,申圃花园,(徐汇康健)冠生园路221弄,2000年 ,93828,121.428109,31.163249
62,徐汇世家花园,(徐汇田林)钦州北路300弄3-10号,2014年 ,97574,121.418418,31.181393
63,上海天玺,(徐汇衡山路)襄阳南路99-101号,2013-2014年 ,0,121.456994,31.206659
64,襄阳南路360号,(徐汇建国西路)襄阳南路360号,暂无信息 ,0,121.457851,31.207913
