,小区名称,具体地址,建成时间,挂牌均价
82,中街155弄,(闵行老闵行)中街155弄,暂无信息 ,000000
83,浦江人才公寓,(闵行浦江)联航路1369弄,2010年 ,000000
84,奉贤四团小区,(闵行浦江)东陶家宅路90号,暂无信息 ,000000
85,天星苑,(闵行老闵行)东川路3533弄,2005-2006年 ,33160
86,金铭福邸,(闵行老闵行)鹤庆路560弄,2003-2013年 ,44767
87,绿地峰尚汇,(闵行浦江)浦星公路1919弄,2014-2016年 ,000000
88,永康城星华园,(闵行浦江)盐铁塘路565弄,2014年 ,25693
89,三弦海上金街,(闵行浦江)三鲁公路3003弄,2018年 ,000000
90,永康城锦宏苑,(闵行浦江)永跃路550弄,2013-2015年 ,30080
91,永康城馨宁佳苑,(闵行浦江)永跃路555弄,2013年 ,29014
92,浦江坤庭—璞御,(闵行浦江)浦秀路1386弄,2013-2016年 ,66427
93,瑞丽名邸,(闵行老闵行)瑞丽路528弄,2012年 ,40934
94,滨浦新苑三村,(闵行浦江)江汉路200弄,2007年 ,37708
95,西新路15弄,(闵行老闵行)西新路15弄,2006年 ,27944
96,浦江颐城(别墅),(闵行浦江)浦泉路399弄（一期）,2010-2013年 ,58121
97,陆家嘴红醍半岛(别墅),(闵行浦江)江柳路888弄,2000-2014年 ,66625
98,绿地峰尚汇,(闵行浦江)浦星公路1919弄,2014-2016年 ,000000
99,宝华源墅,(闵行浦江)三鲁公路5588号,2001-2019年 ,75499
100,万科公园大道,(闵行老闵行)富卓路789弄,2014-2018年 ,53623
101,君临六六公寓,(闵行老闵行)碧江路299弄,2006年 ,44036
102,万科早城(二期),(闵行浦江)北江榉路688弄,2013-2015年 ,000000
103,新骏环路588号,(闵行浦江)新骏环路588号,暂无信息 ,000000
104,保利茉莉公馆(商铺),(闵行浦江)浦秀路1536弄（一期）,2012-2015年 ,000000
105,红星国际广场,(闵行浦江)联航路1818弄,2014年 ,000000
106,浦江意优,(闵行浦江)恒南路1111弄,2016年 ,000000
107,当代万国府MOMA,(闵行老闵行)沧源路588弄,2015-2017年 ,69033
108,紫罗兰花苑,(闵行老闵行)兰坪路136弄,2001年 ,31068
109,新浦江城（四期）,(闵行浦江)浦驰路1335弄（四期）,2009-2015年 ,59845
110,浦江世博家园二街坊,(闵行浦江)浦申路633弄,2005-2006年 ,51956
111,新浦江城(浦驰路1336弄),(闵行浦江)浦驰路1336弄（八期）,2009-2019年 ,84480
112,万科城,(闵行老闵行)银春路2200弄,2002-2016年 ,45614
113,浦江世博家园七街坊,(闵行浦江)南江燕路69弄,2005-2006年 ,45436
114,华侨城loft,(闵行浦江)浦锦路1266弄,2012年 ,000000
115,浦江坤庭—翠御,(闵行浦江)浦秀路1385弄,2013年 ,62956
116,鹤庆苑,(闵行老闵行)安宁路330弄,2000年 ,42329
117,凤凰景苑,(闵行老闵行)景谷中路58弄,2015-2018年 ,66169
118,万科VMO花园广场,(闵行浦江)浦锦路2049弄,2011年 ,000000
119,浦江世博家园六街坊,(闵行浦江)北江燕路338弄,2006-2007年 ,49816
120,文化礼品城小区,(闵行老闵行)江川路1565弄,2005-2007年 ,000000
121,保利茉莉公馆二期,(闵行浦江)浦秀路1535弄,2012-2015年 ,85991
122,景舒苑四村,(闵行浦江)浦秀路220弄,2005-2006年 ,39447
123,中景水岸,(闵行老闵行)瑞丽路768弄,2012-2013年 ,46451
124,源枫景苑,(闵行老闵行)永平南路203弄,2010-2011年 ,52179
125,浦江世博家园十五街坊,(闵行浦江)联航路2165弄,2005-2006年 ,43239
126,一品漫城(一期)(别墅),(闵行浦江)浦星公路568弄47-145号,2008年 ,68652
127,景舒苑五村西区,(闵行浦江)浦秀路49弄,2006-2007年 ,40790
128,紫竹苑(闵行),(闵行老闵行)江川东路839弄,2002年 ,40382
129,华侨城十号院,(闵行浦江)浦驰路1628弄,2014年 ,000000
130,友好佳苑,(闵行老闵行)江川路680弄,2011年 ,32556
131,永康城佳兴苑,(闵行浦江)永跃路782弄,2014年 ,28199
132,一品漫城四期（别墅）,(闵行浦江)芦恒路378弄,2014-2018年 ,66790
133,东苑佳和园,(闵行老闵行)永平南路198弄,2010-2014年 ,47347
134,新浦江城(江桦路199弄),(闵行浦江)江桦路199弄（一期）,2000-2006年 ,117421
135,新浦江城(江柳路400弄),(闵行浦江)江柳路400弄（一期）,2006-2007年 ,000000
136,新浦江城(江桦路600弄),(闵行浦江)江桦路600弄（一期）,2005-2006年 ,75076
137,新浦江城(浦锦路1658弄),(闵行浦江)浦锦路1658弄（二期）,2010年 ,79557
138,当代万国府MOMA,(闵行老闵行)沧源路588弄,2015-2017年 ,69033
139,紫罗兰花苑,(闵行老闵行)兰坪路136弄,2001年 ,31068
140,保利佳苑,(闵行老闵行)富国路39弄,2014年 ,33156
141,浦江意优,(闵行浦江)恒南路1111弄,2016年 ,000000
142,永康城兴利苑,(闵行浦江)永高路255弄,2006-2014年 ,27378
143,永康城香樟苑,(闵行浦江)盐铁塘路435弄,2008-2015年 ,29313
144,红宾花苑,(闵行老闵行)宾川路233弄,2000年 ,29777
145,滨浦新苑七村,(闵行浦江)浦雪南路369弄,2014年 ,36012
146,浦江颐城晶寓,(闵行浦江)浦泉路399弄（一期）,2009-2014年 ,69239
147,新浦江城(浦驰路1809弄),(闵行浦江)浦驰路1809弄（二期）,2010年 ,62895
148,新浦江城(江柳路200弄)(别墅),(闵行浦江)江柳路200弄（一期）,2008年 ,000000
149,绿地璀璨天城,(闵行老闵行)富国路355弄,2014-2016年 ,46315
150,浦江世博家园十四街坊,(闵行浦江)联航路2015弄,2006年 ,46494
151,景舒苑八村,(闵行浦江)浦鸥路186弄,2006年 ,39277
152,滨浦新苑一村,(闵行浦江)浦驰南路238弄,2007-2009年 ,43613
153,滨浦新苑四村,(闵行浦江)浦驰南路39弄,2007年 ,39445
154,瑞丽名邸,(闵行老闵行)瑞丽路528弄,2012年 ,40934
155,浦江坤庭—璞御,(闵行浦江)浦秀路1386弄,2013-2016年 ,66427
156,丽都城假日景苑,(闵行老闵行)金平路328弄,2009年 ,51843
157,旭辉浦江国际广场,(闵行浦江)联航路1650号,2011-2014年 ,000000
158,景舒苑二村,(闵行浦江)浦秀路360弄,2007年 ,39658
159,祥云新城,(闵行老闵行)江川路1777弄,2005-2012年 ,28095
160,金榜人家,(闵行老闵行)石屏路399弄,2004-2006年 ,47649
161,剑桥丽苑,(闵行老闵行)凤庆路150弄,2005-2006年 ,45329
162,安宁欧洲花园,(闵行老闵行)安宁路379弄,2000-2002年 ,49428
163,滨浦新苑五村,(闵行浦江)浦雪南路366弄,2014年 ,40622
164,永康城丽华园,(闵行浦江)盐铁塘路272弄,2014年 ,28685
165,滨浦新苑八村,(闵行浦江)浦瑞南路76弄,2014-2015年 ,33781
166,浦江科技广场,(闵行浦江)陈行路2388号,2014年 ,000000
