小区名称,房源数量,平均单价,经度,纬度,驾车距离(米),所需时间(秒)
汇成四村,2,55255.0,121.435493,31.144711,6864,1114
汇成宾阳苑,2,115006.0,121.436915,31.163457,5713,961
汇成桂苑,1,115322.0,121.436307,31.188334,3493,770
汇景苑,3,104598.66666666669,121.461516,31.204203,4131,762
汇翠花园,3,95986.0,121.438541,31.184992,3686,796
汇达苑,1,63170.0,121.438078,31.149558,5629,872
汇金广场,4,89144.0,121.440415,31.195237,3888,868
汇龙花苑(徐汇),6,86695.16666666667,121.431842,31.199136,5524,1191
汽联大厦,7,82285.71428571429,121.456773,31.199069,2690,606
汾阳路9弄,2,136804.0,121.455706,31.213846,4343,894
沪贵苑,2,100859.0,121.433566,31.187125,3938,753
河滨国际公寓,2,91114.5,121.431509,31.164107,4749,951
泰东新村(徐汇),10,95127.6,121.431842,31.199136,5524,1204
泰安路27弄,3,90531.0,121.43769,31.20546,4756,1132
泰康大楼,1,78640.0,121.457881,31.197006,2380,554
泰德苑,1,153516.0,121.431524,31.187976,4007,893
泰莱大厦,9,92589.0,121.46077,31.189716,1381,387
海上华庭,3,100780.66666666669,121.417975,31.149083,8135,1223
海上名邸,4,114235.5,121.423879,31.155435,6618,1093
海上名门公寓,1,102737.0,121.42783,31.160051,6573,1112
海天公寓,4,102200.5,121.441758,31.191354,3080,688
海珀旭晖,5,183899.4,121.458428,31.182624,597,212
海螺花园,2,94065.0,121.436307,31.188334,3493,770
淮海中路1795号,1,141383.0,121.439974,31.205081,3938,869
淮海大楼,4,149867.0,121.44994,31.213055,3911,859
淮海鑫城苑,1,108246.0,121.424911,31.196546,5803,1234
清枫大楼,5,94043.2,121.456379,31.198884,2671,592
清真路77号,2,86824.0,121.458972,31.199143,3120,619
湖南路298弄,2,115030.0,121.438681,31.208526,4171,968
滨江小区,2,74356.0,121.457044,31.152442,4150,718
漕河景苑,4,107430.0,121.429875,31.164647,4792,997
漕泾一村,2,61572.0,121.436307,31.188334,3493,770
漕溪一村,13,70324.38461538461,121.436823,31.174018,4059,703
漕溪三村,7,79616.57142857143,121.43719,31.170806,4396,711
漕溪二村,3,79094.33333333333,121.439107,31.172001,4417,746
漕溪四村,8,79047.375,121.439813,31.171379,3528,741
漕溪大楼,4,86835.75,121.436002,31.184092,3561,639
炎虹路71弄,2,89482.0,121.465389,31.202412,3314,669
炎虹路76弄,2,86734.0,121.465389,31.202412,3314,669
煤科公寓,6,76147.5,121.445382,31.180431,2429,427
爱中爱华公寓,5,98358.4,121.449474,31.186025,2390,545
爱乐大厦,1,66725.0,121.446544,31.187902,2143,437
爱博大厦,1,73164.0,121.446193,31.188543,2284,482
爱建园,9,109262.22222222222,121.432641,31.175063,4027,713
爱邦大厦,1,56644.0,121.447447,31.188234,2407,563
狮城花苑,14,73425.35714285714,121.446967,31.165539,2953,558
玉兰花苑,17,90541.0588235294,121.435064,31.18611,3834,747
王家堂小区,5,92253.8,121.444003,31.189258,2654,628
瑞嘉公寓,2,104064.0,121.465134,31.203351,3716,618
瑞金南苑,2,104870.5,121.467246,31.199625,3072,542
瑞金尊邸,1,109121.0,121.436307,31.188334,3493,770
生活花苑,3,72727.33333333333,121.448876,31.168576,2492,513
田林一村,2,70221.0,121.422071,31.174703,5193,860
田林三四村,3,66478.66666666667,121.422478,31.170246,4677,1004
田林九村,4,79594.25,121.421834,31.172764,4701,1007
田林五六七村,18,66876.22222222222,121.418501,31.171765,5010,1050
田林十一村,12,72921.58333333333,121.425926,31.171407,4463,940
田林十三村,1,75550.0,121.424739,31.173275,4395,943
田林十二村,18,67556.16666666667,121.428621,31.172214,4102,898
田林十四村,18,69721.22222222222,121.423526,31.175538,5499,935
田林十村,3,86478.33333333333,121.421143,31.174294,5240,878
田林新苑,10,60477.6,121.422071,31.174703,5193,860
申峰大厦,8,86612.875,121.441847,31.187118,2972,566
申德公寓,1,92570.0,121.421523,31.176867,4640,1020
申航小区,14,85517.21428571429,121.441639,31.177808,2668,440
电影华苑,4,103696.75,121.436307,31.188334,3493,770
番南小区,4,103025.75,121.426801,31.192123,4419,900
番禺大楼,2,71217.0,121.427961,31.195833,4926,1056
番禺小区,1,90336.0,121.427987,31.198197,5162,1119
番禺路650弄,2,102706.0,121.42906,31.199295,5247,1101
番禺路998弄,3,95027.66666666669,121.427871,31.195206,4813,1026
百乐公寓,3,94770.0,121.459911,31.198755,3093,630
百合花苑,1,63472.0,121.412762,31.15035,8353,1206
百汇园一期,14,166786.35714285713,121.46046,31.1726,1694,392
百汇园二期,11,167081.81818181818,121.45946,31.17441,1840,481
百龙小区,5,73719.0,121.450056,31.145126,6691,990
盛华景苑,24,66622.04166666667,121.455236,31.108796,10623,1370
盛大花园,12,112979.08333333331,121.436307,31.188334,3493,770
石油公寓,3,87507.66666666667,121.433354,31.197084,4971,1041
祥和公寓(徐汇),3,110259.0,121.431842,31.199136,5524,1191
福华花苑,7,100753.0,121.4655,31.200996,3209,659
福苑小区,9,69306.55555555556,121.425654,31.176266,4987,824
秀山支路5弄,2,103636.0,121.430153,31.196539,5187,1069
秀水苑(徐汇),2,65065.0,121.431842,31.199136,5524,1191
科华公寓,1,95040.0,121.430056,31.16879,4902,835
科嘉小区,2,92411.5,121.442135,31.19429,3387,728
科汇公寓,3,93137.66666666669,121.436307,31.188334,3493,770
科汇景苑,3,90343.66666666669,121.439749,31.172286,3603,771
科苑新村,10,74462.7,121.432876,31.163795,5971,934
紫薇园,7,61690.28571428572,121.40984,31.151896,8465,1238
紫藤苑,1,84418.0,121.412564,31.149226,8501,1245
紫阳花苑,15,59720.13333333333,121.455508,31.114637,9738,1295
红旗教师公寓,11,92754.54545454546,121.449492,31.19116,2312,580
罗城小区,6,64633.833333333336,121.434144,31.14954,5845,916
罗秀三村,12,55008.91666666666,121.436307,31.188334,3493,770
罗秀二村,1,51512.0,121.449261,31.131408,7211,1074
罗秀家园,2,81222.0,121.432027,31.131795,8920,1282
罗秀新村,23,61737.04347826087,121.447743,31.132315,7021,1036
罗秀路1001弄,1,63418.0,121.429896,31.129385,9219,1337
美乐小区,3,82018.33333333333,121.42522,31.170329,4628,963
美晶佳园,2,110020.0,121.444773,31.182676,2481,505
老沪闵路439弄,4,54071.5,121.427113,31.147922,6223,933
联业大厦,4,113139.5,121.450615,31.200069,2460,614
肇嘉浜路853弄,6,88497.16666666667,121.446394,31.197362,2812,631
腾王阁,1,86341.0,121.451826,31.182825,1710,289
